evidence_id,record_type,source_commit,config_ref,target,horizons,base_information,candidate_information,representation,fit_range,selection_range,evaluation_range,controls,budget,recorded_status,allowed_conclusion,evidence_ref,metadata_sha256
audited-t5-TimeXer-occ-3-3-region-h-42-1-1b7aae24,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,267af49d313bebf8694d902a44de807ed9414ff18ab199180f751ccd13ce3070
audited-t5-TimeXer-occ-3-3-region-h_Ta-42-1-2453f079,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,d986807a5b83a51fd7c792bf191c215c475479654639aad467a407176c0428f7
audited-t5-TimeXer-occ-3-3-region-P-42-1-907c6f4f,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,baa733b0bd211a26c00e7e480de3e36a04c26ca09510a602a751d995d25a71cc
audited-t5-TimeXer-occ-3-3-region-P_ps-42-1-8a107b58,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,9bb9f6305883ad02e8d8ad24b242e0058b76f49df24c8634a87e9c1475f14ddd
audited-t5-TimeXer-occ-3-3-region-pe-42-1-a86c5c0c,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,d2d18e4d92ae833df4541fe67da8e47206c9506027c14a18c520991ff621382d
audited-t5-TimeXer-occ-3-3-region-ps-42-1-c7d3c9f9,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,1eec769383bf2af0a27cc39bdff74b7066bf65cc69791790663f83007d74c959
audited-t5-TimeXer-occ-3-3-region-Ta-42-1-e77e8364,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,dab840eba0dda9cef67500abd7954150e0d74b27c763c5bae2dd2bf5b47bfcdf
audited-t5-TimeXer-occ-3-3-region-Ta_pe-42-1-fe1e15f2,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,9356e53000cd796201a025250ae9b2272a63aa8257385e5325007be218c81ecc
audited-t5-TimeXer-occ-3-4-region-h-42-1-dd9e3cf6,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,6bf5a5c567b9e4a43e5a3773dc3edf522dbb335acf4423a25aeb46b1f6a75d3c
audited-t5-TimeXer-occ-3-4-region-h_Ta-42-1-41ab52dd,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,49060512715775417bc8c4595901171d4e04c5eaf4fcefa9d15cdf46da1573e8
audited-t5-TimeXer-occ-3-4-region-P-42-1-f7a8c6ca,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,897be272ea1080e062fc27a14149aa03c84953387d99d81c550c92d2f1564ca3
audited-t5-TimeXer-occ-3-4-region-P_ps-42-1-f3acab06,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,fe4a7285d3a167c3a7494cc2c0a9f388b4485e729893355f2d0918e7c6e1def1
audited-t5-TimeXer-occ-3-4-region-pe-42-1-0b0312eb,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,3e90dbd0c50fce54fcd435c455aab63444b9cbbed27c8855b397671b5a577280
audited-t5-TimeXer-occ-3-4-region-ps-42-1-b9ad6804,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,f43b0b4f1d112abe938a70af5c976f7bf8df6cff456d37df0af6503e46cfee5b
audited-t5-TimeXer-occ-3-4-region-Ta-42-1-5e9d83f9,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,b3c59a051ed1ace108acc492df44bbcd1c08fa5d598f5190e7893b1b33cab3f0
audited-t5-TimeXer-occ-3-4-region-Ta_pe-42-1-5c27707a,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,3ef257580cc158f57554c799bfcfa8ac156aa3185dc2b3e5d7b6581da531b715
audited-t5-TimeXer-occ-3-5-region-h-42-1-8bdac257,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,TimeXer,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,bda578592558f691a54967a93ec7dcab99595e6bd1150ab59a01af327ebb03a5
audited-t5-TimeXer-occ-3-5-region-P-42-1-e8a961be,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,d3d1c97ae80a5044ae85780ee35be988e26db275571eb0fdea9b50d185fe53b9
audited-t5-TimeXer-occ-3-5-region-P_ps-42-1-4fe9e113,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,TimeXer,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,bd7b232f34bcdfb1b80d2cc9da41cd1dba38a81610a2dba358a91825a2c326d2
audited-t5-TimeXer-occ-3-5-region-pe-42-1-b4d1530b,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,TimeXer,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,a6e4a910312d8d0b07f57b04fb1b50b997fa92fce4d527af66707c75942edc5e
audited-t5-TimeXer-occ-3-5-region-ps-42-1-e4f32932,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,TimeXer,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,0c532689c84ab9f64e162bfd26eb0f4d2607c288850d7b436484f601a6ea3e63
audited-t5-TimeXer-occ-3-5-region-Ta-42-1-4d1ab447,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,TimeXer,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,21e1a1425ee375abeddeb4eea25310df97fa3d7d87822cef7bbc25325fb1825a
audited-t5-TimeXer-occ-3-5-region-Ta_pe-42-1-7cfc98f7,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,TimeXer,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,9744bb14baa470d64feaa64c11bf247c1b7c53e50c4c49ec736f567bdea5bae5
audited-t5-TimeXer-occ-3-6-region-h-42-1-5cc5ca78,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,TimeXer,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,090f78be3919e617ca9f3742d724895676a4726e044c87a30eb785a64d71e74a
audited-t5-TimeXer-occ-3-6-region-P-42-1-d4673fc7,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,21b0636f24299386c5595de44386cdf214d759dab21c904c84fd4cbc7e82a48b
audited-t5-TimeXer-occ-3-6-region-P_ps-42-1-ce3bade8,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,TimeXer,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,0129dfd89127d8f5db20fd4f290b69fd6580405ebb1480d6176606b4148b1fe3
audited-t5-TimeXer-occ-3-6-region-pe-42-1-71a07c70,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,TimeXer,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,66c037c9db0499ea776b5c2ea843e1a8be6d89de96a444886c5ea0e997447fa4
audited-t5-TimeXer-occ-3-6-region-ps-42-1-b5d23bbb,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,TimeXer,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,1b0eda6f6d9057c4ec8ffc8c1ce642ff29cdea37af70dc98669beba6a17e0d3b
audited-t5-TimeXer-occ-3-6-region-Ta-42-1-1916e388,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,TimeXer,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,b86e7e2f04ca6f1f0ae4b78d430168cdd4b3353294b2875cfc7c66dc07de90fc
audited-t5-TimeXer-occ-3-6-region-Ta_pe-42-1-1a0abd0c,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,TimeXer,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,d8d5af391b67d1eddc3f9ebeedb1dbc9a037cab94243d048b0a4770617cc7f1d
official-compat-v1-t5-astgcn-occ-3-1-region-P-42-20-f3b3c078,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,astgcn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,e9da8579a17457322d341dd64192bc8d56017fd5158afe63adb53444bafadf8f
official-compat-v1-t5-astgcn-occ-3-2-region-P-42-20-542a3627,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,astgcn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,da2d8662e522d84884953576479c277f2ca08f54a1548dc9b58f4d064eabb3fb
official-compat-v1-t5-fcnn-occ-3-1-region-all-42-20-2c3c5c19,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,a2c4043fdef7f9025e921480464c1da0ac28a77bf637971e2de61cb42552a1d4
official-compat-v1-t5-fcnn-occ-3-1-region-all-42-20-2c3c5c19,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,58e6410bf5f00bebd7721ae104a16e1ca624b012532ce66f9a6a27b02bc31663
official-compat-v1-t5-fcnn-occ-3-1-region-h-42-20-c2e45d10,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,f1918a186ed815b74a7f859898576f7fb7a63a185db1144e76eebdb63ea2a298
official-compat-v1-t5-fcnn-occ-3-1-region-h_Ta-42-20-6bbac9d9,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,3ec3138fd19c549e9a5384c73fd938f8d921951cdf0a7b9400e8329db3338016
official-compat-v1-t5-fcnn-occ-3-1-region-P-42-20-9ebe5d05,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,ef335e9d395462db6330dacf7fe1fa5cdfcbe51a2a7a8f1030c3de3d2d5847cf
official-compat-v1-t5-fcnn-occ-3-1-region-P_ps-42-20-bb3c7086,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,b37c1c4e8056a3ccf9c0a566024a1cc9d2d65c9313eb75c1f7694240dc4edcce
official-compat-v1-t5-fcnn-occ-3-1-region-pe-42-20-794cdcda,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,7219902a5a0336efd87b35e53dff02131ec2e5e1ed64db9e952892e3773c372b
official-compat-v1-t5-fcnn-occ-3-1-region-ps-42-20-8b8b5d66,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,18597d60e54b54f1e357d8b0861850e8303ac66a27a139897f5cb28828e5860e
official-compat-v1-t5-fcnn-occ-3-1-region-ps_pe-42-20-90886f81,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,bd633860a555c6b9f16452e435c80d3b750dda67881ad8d26eb12bfaca985e94
official-compat-v1-t5-fcnn-occ-3-1-region-Ta-42-20-03eb3dd1,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,98c76c92be30079a6cdbb302691af15e175c2bea1f85410ce418a1d696227041
official-compat-v1-t5-fcnn-occ-3-1-region-Ta_pe-42-20-19b9b601,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,7be2c63d5ffc5e601f8efd5b6ca459c8c1925103e42301457c3d3ccba2b14b8c
official-compat-v1-t5-fcnn-occ-3-2-region-all-42-20-b5d25898,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,31d2c4bdf0a3f0f6a09870b76890fda28e43ff21bf3305ec172a181bf99fbcfe
